Question ID,Word Key,Source Type,Chapter,Section,Item,Traditional Chinese,Pinyin,POS,English Meaning,Round,Question Type,Input Mode,Prompt,Option A,Option B,Option C,Option D,Correct Option,Correct Answer,Accepted Answers
Q0222,C6-6-2-I2-W074,Vocabulary,6,6-2,2,有趣,yǒuqù,Vs,interesting,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 王老師的課很____，每個學生都喜歡她。,慢,高興,有趣,快,C,有趣,有趣
Q0223,C6-6-2-I3-W075,Vocabulary,6,6-2,3,覺得,juéde,Vst,to feel; to think,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「覺得」.,to hear of,to feel; to think,to draw; to paint,song,B,to feel; to think,
Q0224,C6-6-2-I3-W075,Vocabulary,6,6-2,3,覺得,juéde,Vst,to feel; to think,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「覺得」 (tone marks or tone numbers are accepted).,,,,,,juéde,juéde | jue2de | jue2 de
Q0225,C6-6-2-I3-W075,Vocabulary,6,6-2,3,覺得,juéde,Vst,to feel; to think,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我____這部電影很有趣，你覺得呢？,覺得,快,幾,學習,A,覺得,覺得
Q0226,C6-6-2-I4-W076,Vocabulary,6,6-2,4,有(一)點(兒),yǒu(yì)diǎn(r),Adv,a little,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「有(一)點(兒)」.,only; just,sometimes,a little,really,C,a little,
Q0227,C6-6-2-I4-W076,Vocabulary,6,6-2,4,有(一)點(兒),yǒu(yì)diǎn(r),Adv,a little,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「有(一)點(兒)」 (tone marks or tone numbers are accepted).,,,,,,yǒu(yì)diǎn(r),yǒuyìdiǎnr | you3yi4dian3r | you3 yi4 dian3 r | yǒuyìdiǎn | you3yi4dian3 | you3 yi4 dian3 | yǒudiǎn | you3dian3 | you3 dian3 | yǒu(yì)diǎn(r) | you3(yi4)dian3(r) | yǒudiǎnr | you3dian3r | you3 dian3 r
Q0228,C6-6-2-I4-W076,Vocabulary,6,6-2,4,有(一)點(兒),yǒu(yì)diǎn(r),Adv,a little,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 那家店的冰淇淋很好吃，可是____貴。,有的時候,只,真,有點兒,D,有點兒,有一點兒 | 有一點 | 有點兒 | 有點
Q0229,C6-6-2-I5-W077,Vocabulary,6,6-2,5,休息,xiūxí,Vi,to take a rest,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「休息」.,to run,to exercise,measure word for vehicles,to take a rest,D,to take a rest,
Q0230,C6-6-2-I5-W077,Vocabulary,6,6-2,5,休息,xiūxí,Vi,to take a rest,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「休息」 (tone marks or tone numbers are accepted).,,,,,,xiūxí,xiūxí | xiu1xi2 | xiu1 xi2
Q0231,C6-6-2-I5-W077,Vocabulary,6,6-2,5,休息,xiūxí,Vi,to take a rest,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我很累，想在房間____。,跑步,運動,休息,跑,C,休息,休息
Q0232,C6-6-2-I6-W078,Vocabulary,6,6-2,6,上網,shàngwǎng,V-sep,to use/surf the internet,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「上網」.,to talk; to speak,to sing (a song),to use/surf the internet,to dance,C,to use/surf the internet,
Q0233,C6-6-2-I6-W078,Vocabulary,6,6-2,6,上網,shàngwǎng,V-sep,to use/surf the internet,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「上網」 (tone marks or tone numbers are accepted).,,,,,,shàngwǎng,shàngwǎng | shang4wang3 | shang4 wang3
Q0234,C6-6-2-I6-W078,Vocabulary,6,6-2,6,上網,shàngwǎng,V-sep,to use/surf the internet,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我常常在咖啡廳____、看書。,唱歌,游泳,說話,上網,D,上網,上網
Q0235,C6-6-2-I7-W079,Vocabulary,6,6-2,7,電腦,diànnǎo,N,computer,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「電腦」.,computer,mountain,seaside; beach,scenery; landscapes,A,computer,
Q0236,C6-6-2-I7-W079,Vocabulary,6,6-2,7,電腦,diànnǎo,N,computer,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「電腦」 (tone marks or tone numbers are accepted).,,,,,,diànnǎo,diànnǎo | dian4nao3 | dian4 nao3
Q0237,C6-6-2-I7-W079,Vocabulary,6,6-2,7,電腦,diànnǎo,N,computer,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我要買一部新____。,腳踏車,電腦,電影,電影院,B,電腦,電腦
Q0238,C6-6-2-I8-W080,Vocabulary,6,6-2,8,手機,shǒujī,N,cell phone,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「手機」.,computer,competition; race; game,the day before yesterday,cell phone,D,cell phone,
Q0239,C6-6-2-I8-W080,Vocabulary,6,6-2,8,手機,shǒujī,N,cell phone,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「手機」 (tone marks or tone numbers are accepted).,,,,,,shǒujī,shǒujī | shou3ji1 | shou3 ji1
Q0240,C6-6-2-I8-W080,Vocabulary,6,6-2,8,手機,shǒujī,N,cell phone,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我有____，可是沒有電腦。,電腦,後天,腳踏車,手機,D,手機,手機
Q0241,C6-6-2-I8-W081,Vocabulary,6,6-2,8,支,zhī,M,measure word for cell phone,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「支」.,measure word for vehicles,measure word for songs,measure word for movies,measure word for cell phone,D,measure word for cell phone,
Q0242,C6-6-2-I8-W081,Vocabulary,6,6-2,8,支,zhī,M,measure word for cell phone,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「支」 (tone marks or tone numbers are accepted).,,,,,,zhī,zhī | zhi1
Q0243,C6-6-2-I8-W081,Vocabulary,6,6-2,8,支,zhī,M,measure word for cell phone,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我有一____手機。,首,部,支,輛,C,支,支
Q0244,C6-6-2-I9-W082,Vocabulary,6,6-2,9,應該,yīnggāi,Vaux,should; ought to,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「應該」.,should; ought to,scenery; landscapes,can; could (suggestion),to be able to; can,A,should; ought to,
Q0245,C6-6-2-I9-W082,Vocabulary,6,6-2,9,應該,yīnggāi,Vaux,should; ought to,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「應該」 (tone marks or tone numbers are accepted).,,,,,,yīnggāi,yīnggāi | ying1gai1 | ying1 gai1
Q0246,C6-6-2-I9-W082,Vocabulary,6,6-2,9,應該,yīnggāi,Vaux,should; ought to,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我們____常常說請、謝謝。,可以,應該,支,會,B,應該,應該
Q0247,C6-6-2-I10-W083,Vocabulary,6,6-2,10,運動,yùndòng,Vi,to exercise,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「運動」.,to exercise,to run,to take a rest,to feel; to think,A,to exercise,
Q0248,C6-6-2-I10-W083,Vocabulary,6,6-2,10,運動,yùndòng,Vi,to exercise,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「運動」 (tone marks or tone numbers are accepted).,,,,,,yùndòng,yùndòng | yun4dong4 | yun4 dong4
Q0249,C6-6-2-I10-W083,Vocabulary,6,6-2,10,運動,yùndòng,Vi,to exercise,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我每天早上七點去學校____。,休息,運動,跑,跑步,B,運動,運動
Q0250,C6-6-2-I11-W084,Vocabulary,6,6-2,11,可以,kěyǐ,Vaux,can; could (suggestion),Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「可以」.,to be able to; can,should; ought to,scenery; landscapes,can; could (suggestion),D,can; could (suggestion),
Q0251,C6-6-2-I11-W084,Vocabulary,6,6-2,11,可以,kěyǐ,Vaux,can; could (suggestion),Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「可以」 (tone marks or tone numbers are accepted).,,,,,,kěyǐ,kěyǐ | ke3yi3 | ke3 yi3
Q0252,C6-6-2-I11-W084,Vocabulary,6,6-2,11,可以,kěyǐ,Vaux,can; could (suggestion),Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 她很喜歡花，你____送她一些漂亮的花。,應該,電影院,可以,會,C,可以,可以
Q0253,C6-6-2-I12-W085,Vocabulary,6,6-2,12,騎,qí,V,to ride,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「騎」.,to ride,to say; to speak; to talk,to kick,to learn; to study,A,to ride,
Q0254,C6-6-2-I12-W085,Vocabulary,6,6-2,12,騎,qí,V,to ride,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「騎」 (tone marks or tone numbers are accepted).,,,,,,qí,qí | qi2
Q0255,C6-6-2-I12-W085,Vocabulary,6,6-2,12,騎,qí,V,to ride,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 這個週末我們要去____腳踏車。,學習,騎,說,學,B,騎,騎
Q0256,C6-6-2-I13-W086,Vocabulary,6,6-2,13,腳踏車/自行車,jiǎotàchē/zìxíngchē,N,bicycle; bike,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「腳踏車/自行車」.,bicycle; bike,seaside; beach,song,scenery; landscapes,A,bicycle; bike,
Q0257,C6-6-2-I13-W086,Vocabulary,6,6-2,13,腳踏車/自行車,jiǎotàchē/zìxíngchē,N,bicycle; bike,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「腳踏車/自行車」 (tone marks or tone numbers are accepted).,,,,,,jiǎotàchē/zìxíngchē,zìxíngchē | zi4xing2che1 | zi4 xing2 che1 | jiǎotàchē | jiao3ta4che1 | jiao3 ta4 che1 | jiǎotàchē/zìxíngchē | jiao3ta4che1/zi4xing2che1 | jiao3 ta4 che1/zi4 xing2 che1
Q0258,C6-6-2-I13-W086,Vocabulary,6,6-2,13,腳踏車/自行車,jiǎotàchē/zìxíngchē,N,bicycle; bike,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 這個週末我們要去騎____。,電腦,電影院,腳踏車,後天,C,腳踏車,腳踏車 | 自行車
Q0259,C6-6-2-I13-W087,Vocabulary,6,6-2,13,輛,liàng,M,measure word for vehicles,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「輛」.,measure word for cell phone,measure word for movies,measure word for vehicles,measure word for songs,C,measure word for vehicles,
Q0260,C6-6-2-I13-W087,Vocabulary,6,6-2,13,輛,liàng,M,measure word for vehicles,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「輛」 (tone marks or tone numbers are accepted).,,,,,,liàng,liàng | liang4
Q0261,C6-6-2-I13-W087,Vocabulary,6,6-2,13,輛,liàng,M,measure word for vehicles,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我有一____腳踏車。,輛,部,支,首,A,輛,輛
Q0262,C6-6-2-I14-W088,Vocabulary,6,6-2,14,只,zhǐ,Adv,only; just,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「只」.,only; just,sometimes,a little,really,A,only; just,
Q0263,C6-6-2-I14-W088,Vocabulary,6,6-2,14,只,zhǐ,Adv,only; just,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「只」 (tone marks or tone numbers are accepted).,,,,,,zhǐ,zhǐ | zhi3
Q0264,C6-6-2-I14-W088,Vocabulary,6,6-2,14,只,zhǐ,Adv,only; just,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我現在不餓，____想吃一點兒水果。,只,有的時候,真,有一點兒,A,只,只
Q0265,C6-6-2-I15-W089,Vocabulary,6,6-2,15,後天,hòutiān,N,the day after tomorrow,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「後天」.,ocean; sea,ball,the day after tomorrow,tennis,C,the day after tomorrow,
Q0266,C6-6-2-I15-W089,Vocabulary,6,6-2,15,後天,hòutiān,N,the day after tomorrow,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「後天」 (tone marks or tone numbers are accepted).,,,,,,hòutiān,hòutiān | hou4tian1 | hou4 tian1
Q0267,C6-6-2-I15-W089,Vocabulary,6,6-2,15,後天,hòutiān,N,the day after tomorrow,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: ____是我朋友的生日，我想送他一個大蛋糕。,電影,電腦,後天,前天,C,後天,後天
Q0268,C6-6-2-I15-W090,Vocabulary,6,6-2,15,前天,qiántiān,N,the day before yesterday,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「前天」.,scenery; landscapes,the day before yesterday,cell phone,movie theater; cinema,B,the day before yesterday,
Q0269,C6-6-2-I15-W090,Vocabulary,6,6-2,15,前天,qiántiān,N,the day before yesterday,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「前天」 (tone marks or tone numbers are accepted).,,,,,,qiántiān,qiántiān | qian2tian1 | qian2 tian1
Q0270,C6-6-2-I15-W090,Vocabulary,6,6-2,15,前天,qiántiān,N,the day before yesterday,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: ____下午我在學校的圖書館看書。,前天,電腦,電影院,後天,A,前天,前天
Q0271,C6-6-3-I1-W091,Vocabulary,6,6-3,1,興趣,xìngqù,N,interest; hobby,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「興趣」.,ocean; sea,computer,cell phone,interest; hobby,D,interest; hobby,
Q0272,C6-6-3-I1-W091,Vocabulary,6,6-3,1,興趣,xìngqù,N,interest; hobby,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「興趣」 (tone marks or tone numbers are accepted).,,,,,,xìngqù,xìngqù | xing4qu4 | xing4 qu4
Q0273,C6-6-3-I1-W091,Vocabulary,6,6-3,1,興趣,xìngqù,N,interest; hobby,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我的____是運動，打網球、游泳，我都喜歡。,興趣,平常,幾,比賽,A,興趣,興趣
Q0274,C6-6-3-I2-W092,Vocabulary,6,6-3,2,幾,jǐ,N,several; a few,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「幾」.,movie,ocean; sea,football; soccer,several; a few,D,several; a few,
Q0275,C6-6-3-I2-W092,Vocabulary,6,6-3,2,幾,jǐ,N,several; a few,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「幾」 (tone marks or tone numbers are accepted).,,,,,,jǐ,jǐ | ji3
Q0276,C6-6-3-I2-W092,Vocabulary,6,6-3,2,幾,jǐ,N,several; a few,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我有____個臺灣朋友。,幾,興趣,比賽,畫,A,幾,幾
Q0277,C6-6-3-I3-W093,Vocabulary,6,6-3,3,學,xué,V,to learn; to study,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「學」.,to hit; to beat; to play (ball games),to say; to speak; to talk,to learn; to study,to kick,C,to learn; to study,
Q0278,C6-6-3-I3-W093,Vocabulary,6,6-3,3,學,xué,V,to learn; to study,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「學」 (tone marks or tone numbers are accepted).,,,,,,xué,xué | xue2
Q0279,C6-6-3-I3-W093,Vocabulary,6,6-3,3,學,xué,V,to learn; to study,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我們都喜歡____中文。,學,學習,說,騎,A,學,學
Q0280,C6-6-3-I3-W094,Vocabulary,6,6-3,3,學習,xuéxí,V,to learn; to study,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「學習」.,to learn; to study,to ride,to kick,to say; to speak; to talk,A,to learn; to study,
Q0281,C6-6-3-I3-W094,Vocabulary,6,6-3,3,學習,xuéxí,V,to learn; to study,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「學習」 (tone marks or tone numbers are accepted).,,,,,,xuéxí,xuéxí | xue2xi2 | xue2 xi2
Q0282,C6-6-3-I3-W094,Vocabulary,6,6-3,3,學習,xuéxí,V,to learn; to study,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我們都喜歡____中文。,騎,學習,打,學,B,學習,學習
Q0283,C6-6-3-I4-W095,Vocabulary,6,6-3,4,唱歌,chànggē,V-sep,to sing (a song),Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「唱歌」.,to sing (a song),to draw; to paint,to talk; to speak,to dance,A,to sing (a song),
Q0284,C6-6-3-I4-W095,Vocabulary,6,6-3,4,唱歌,chànggē,V-sep,to sing (a song),Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「唱歌」 (tone marks or tone numbers are accepted).,,,,,,chànggē,chànggē | chang4ge1 | chang4 ge1
Q0285,C6-6-3-I4-W095,Vocabulary,6,6-3,4,唱歌,chànggē,V-sep,to sing (a song),Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 他____唱得很開心。,跳舞,畫畫,說話,唱歌,D,唱歌,唱歌
Q0286,C6-6-3-I4-W096,Vocabulary,6,6-3,4,歌,gē,N,song,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「歌」.,song,generally; usually,movie,computer,A,song,
Q0287,C6-6-3-I4-W096,Vocabulary,6,6-3,4,歌,gē,N,song,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「歌」 (tone marks or tone numbers are accepted).,,,,,,gē,gē | ge1
Q0288,C6-6-3-I4-W096,Vocabulary,6,6-3,4,歌,gē,N,song,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 他會唱很多首中文____。,幾,畫,歌,平常,C,歌,歌
Q0289,C6-6-3-I4-W097,Vocabulary,6,6-3,4,首,shǒu,M,measure word for songs,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「首」.,measure word for cell phone,measure word for movies,measure word for vehicles,measure word for songs,D,measure word for songs,
Q0290,C6-6-3-I4-W097,Vocabulary,6,6-3,4,首,shǒu,M,measure word for songs,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「首」 (tone marks or tone numbers are accepted).,,,,,,shǒu,shǒu | shou3
Q0291,C6-6-3-I4-W097,Vocabulary,6,6-3,4,首,shǒu,M,measure word for songs,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 他會唱很多____中文歌。,部,首,支,輛,B,首,首
Q0292,C6-6-3-I4-W098,Vocabulary,6,6-3,4,跳舞,tiàowǔ,V-sep,to dance,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「跳舞」.,to use/surf the internet,to sing (a song),to draw; to paint,to dance,D,to dance,
Q0293,C6-6-3-I4-W098,Vocabulary,6,6-3,4,跳舞,tiàowǔ,V-sep,to dance,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「跳舞」 (tone marks or tone numbers are accepted).,,,,,,tiàowǔ,tiàowǔ | tiao4wu3 | tiao4 wu3
Q0294,C6-6-3-I4-W098,Vocabulary,6,6-3,4,跳舞,tiàowǔ,V-sep,to dance,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 他很喜歡____。,唱歌,畫畫,上網,跳舞,D,跳舞,跳舞
Q0295,C6-6-3-I4-W099,Vocabulary,6,6-3,4,畫畫,huàhuà,V-sep,to draw; to paint,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「畫畫」.,to draw; to paint,to talk; to speak,to dance,to use/surf the internet,A,to draw; to paint,
Q0296,C6-6-3-I4-W099,Vocabulary,6,6-3,4,畫畫,huàhuà,V-sep,to draw; to paint,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「畫畫」 (tone marks or tone numbers are accepted).,,,,,,huàhuà,huàhuà | hua4hua4 | hua4 hua4
Q0297,C6-6-3-I4-W099,Vocabulary,6,6-3,4,畫畫,huàhuà,V-sep,to draw; to paint,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 那個孩子很喜歡____，他畫得很好。,唱歌,跳舞,畫畫,游泳,C,畫畫,畫畫
Q0298,C6-6-3-I4-W100,Vocabulary,6,6-3,4,畫,huà,N,painting,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「畫」.,computer,competition; race; game,painting,the day before yesterday,C,painting,
Q0299,C6-6-3-I4-W100,Vocabulary,6,6-3,4,畫,huà,N,painting,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「畫」 (tone marks or tone numbers are accepted).,,,,,,huà,huà | hua4
Q0300,C6-6-3-I4-W100,Vocabulary,6,6-3,4,畫,huà,N,painting,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 這張____很好看，我很喜歡。,比賽,歌,平常,畫,D,畫,畫
Q0301,C6-6-3-I5-W101,Vocabulary,6,6-3,5,平常,píngcháng,N,generally; usually,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「平常」.,ball,seaside; beach,generally; usually,baseball,C,generally; usually,
Q0302,C6-6-3-I5-W101,Vocabulary,6,6-3,5,平常,píngcháng,N,generally; usually,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「平常」 (tone marks or tone numbers are accepted).,,,,,,píngcháng,píngcháng | ping2chang2 | ping2 chang2
Q0303,C6-6-3-I5-W101,Vocabulary,6,6-3,5,平常,píngcháng,N,generally; usually,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我____早上七點起床、八點吃早飯。,畫,興趣,平常,比賽,C,平常,平常
Q0304,C6-6-3-I6-W102,Vocabulary,6,6-3,6,有(的)時候,yǒu(de)shíhou,Adv,sometimes,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「有(的)時候」.,only; just,a little,really,sometimes,D,sometimes,
Q0305,C6-6-3-I6-W102,Vocabulary,6,6-3,6,有(的)時候,yǒu(de)shíhou,Adv,sometimes,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「有(的)時候」 (tone marks or tone numbers are accepted).,,,,,,yǒu(de)shíhou,yǒu(de)shíhou | you3(de)shi2hou | you3(de)shi2 hou | yǒudeshíhou | you3deshi2hou | you3 deshi2 hou | yǒushíhou | you3shi2hou | you3 shi2 hou
Q0306,C6-6-3-I6-W102,Vocabulary,6,6-3,6,有(的)時候,yǒu(de)shíhou,Adv,sometimes,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我平常喜歡喝茶，____喝一點兒咖啡。,真,有一點兒,有時候,只,C,有時候,有的時候 | 有時候
Q0307,C6-6-3-I7-W103,Vocabulary,6,6-3,7,比賽,bǐsài,N,competition; race; game,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「比賽」.,seaside; beach,tennis,competition; race; game,mountain,C,competition; race; game,
Q0308,C6-6-3-I7-W103,Vocabulary,6,6-3,7,比賽,bǐsài,N,competition; race; game,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「比賽」 (tone marks or tone numbers are accepted).,,,,,,bǐsài,bǐsài | bi3sai4 | bi3 sai4
Q0309,C6-6-3-I7-W103,Vocabulary,6,6-3,7,比賽,bǐsài,N,competition; race; game,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 今天下午學校有籃球____，我們去看吧！,比賽,興趣,平常,幾,A,比賽,比賽
Q0310,C6-6-3-I8-W104,Vocabulary,6,6-3,8,真,zhēn,Adv,really,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「真」.,a little,really,only; just,sometimes,B,really,
Q0311,C6-6-3-I8-W104,Vocabulary,6,6-3,8,真,zhēn,Adv,really,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「真」 (tone marks or tone numbers are accepted).,,,,,,zhēn,zhēn | zhen1
Q0312,C6-6-3-I8-W104,Vocabulary,6,6-3,8,真,zhēn,Adv,really,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 你媽媽____漂亮！,有一點兒,真,有的時候,只,B,真,真
Q0313,C6-6-3-I9-W105,Vocabulary,6,6-3,9,高興,gāoxìng,Vs,happy,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「高興」.,interesting,fast; quick,slow; slowly,happy,D,happy,
Q0314,C6-6-3-I9-W105,Vocabulary,6,6-3,9,高興,gāoxìng,Vs,happy,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「高興」 (tone marks or tone numbers are accepted).,,,,,,gāoxìng,gāoxìng | gao1xing4 | gao1 xing4
Q0315,C6-6-3-I9-W105,Vocabulary,6,6-3,9,高興,gāoxìng,Vs,happy,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 老師說要送我們書，我們都很____。,慢,有趣,高興,快,C,高興,高興
Q0316,C7-7-1-I1-W106,Vocabulary,7,7-1,1,怎麼,zěnme,Adv,how,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「怎麼」.,surely; certainly; definitely,both...and...,how,first; in advance,C,how,
Q0317,C7-7-1-I1-W106,Vocabulary,7,7-1,1,怎麼,zěnme,Adv,how,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「怎麼」 (tone marks or tone numbers are accepted).,,,,,,zěnme,zěnme | zen3me | zen3 me
Q0318,C7-7-1-I1-W106,Vocabulary,7,7-1,1,怎麼,zěnme,Adv,how,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 這首歌____唱？,一定,怎麼,又,先,B,怎麼,怎麼
Q0319,C7-7-1-I2-W107,Vocabulary,7,7-1,2,到,dào,Prep,to,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「到」.,to,airport,far,from,A,to,
Q0320,C7-7-1-I2-W107,Vocabulary,7,7-1,2,到,dào,Prep,to,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「到」 (tone marks or tone numbers are accepted).,,,,,,dào,dào | dao4
Q0321,C7-7-1-I2-W107,Vocabulary,7,7-1,2,到,dào,Prep,to,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我要____他家去。,一定,藍色,從,到,D,到,到
Q0322,C7-7-1-I3-W108,Vocabulary,7,7-1,3,飯店,fàndiàn,N,hotel,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「飯店」.,watch,automobile; car,market,hotel,D,hotel,
Q0323,C7-7-1-I3-W108,Vocabulary,7,7-1,3,飯店,fàndiàn,N,hotel,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「飯店」 (tone marks or tone numbers are accepted).,,,,,,fàndiàn,fàndiàn | fan4dian4 | fan4 dian4
Q0324,C7-7-1-I3-W108,Vocabulary,7,7-1,3,飯店,fàndiàn,N,hotel,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我後天要到這家____去看朋友。,旅館,地圖,飯店,手錶,C,飯店,飯店
Q0325,C7-7-1-I3-W109,Vocabulary,7,7-1,3,旅館,lǚguǎn,N,inn; hotel,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「旅館」.,inn; hotel,automobile; car,market,bus,A,inn; hotel,
Q0326,C7-7-1-I3-W109,Vocabulary,7,7-1,3,旅館,lǚguǎn,N,inn; hotel,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「旅館」 (tone marks or tone numbers are accepted).,,,,,,lǚguǎn,lǚguǎn | lü3guan3 | lü3 guan3 | lv3guan3 | lv3 guan3
Q0327,C7-7-1-I3-W109,Vocabulary,7,7-1,3,旅館,lǚguǎn,N,inn; hotel,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我的朋友在那家____前面等我。,旅館,捷運,韓國,火車,A,旅館,旅館
Q0328,C7-7-1-I4-W110,Vocabulary,7,7-1,4,找,zhǎo,V,to visit; to see (a person),Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「找」.,to arrive (a place),to wait for,to visit; to see (a person),to mail,C,to visit; to see (a person),
Q0329,C7-7-1-I4-W110,Vocabulary,7,7-1,4,找,zhǎo,V,to visit; to see (a person),Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「找」 (tone marks or tone numbers are accepted).,,,,,,zhǎo,zhǎo | zhao3
